s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
14.1916976,9.2573265,2.5425766,2.1274696,0.6669888,0.5407755
14.2416684,9.2221649,2.5783131,2.1440397,0.6848299,0.5344476
14.2916392,9.1864078,2.6133448,2.1611341,0.6976756,0.5304651
14.3416099,9.1500871,2.6476814,2.1787318,0.7057182,0.5287378
14.3915807,9.1132350,2.6813331,2.1968098,0.7137607,0.5270106
14.4415515,9.0758834,2.7143098,2.2153438,0.7218033,0.5252833
14.4915222,9.0380645,2.7466213,2.2343089,0.7298458,0.5235561
14.5414930,8.9998102,2.7782778,2.2535663,0.7378883,0.5218288
14.5914638,8.9608778,2.8095058,2.2728948,0.7459309,0.5201016
14.6414345,8.9213038,2.8402825,2.2921038,0.7539734,0.5183744
14.6914053,8.8813381,2.8704212,2.3110306,0.7620160,0.5166471
14.7413761,8.8409854,2.8999348,2.3295389,0.7700585,0.5149199
14.7913468,8.8002503,2.9288363,2.3476300,0.7757850,0.5141394
14.8413176,8.7591372,2.9571385,2.3654097,0.7764453,0.5154300
14.8912884,8.7176508,2.9848544,2.3829732,0.7771056,0.5167205
14.9412591,8.6757957,3.0119969,2.4004060,0.7777659,0.5180111
14.9912299,8.6335764,3.0385789,2.4177835,0.7784261,0.5193017
15.0412007,8.5909974,3.0646134,2.4350052,0.7790864,0.5205922
15.0911714,8.5481822,3.0900420,2.4519446,0.7797467,0.5218828
15.1411422,8.5050322,3.1149316,2.4684704,0.7804070,0.5231734
15.1911130,8.4615379,3.1392895,2.4844483,0.7810672,0.5244639
15.2410837,8.4177034,3.1631152,2.4997420,0.7817275,0.5257545
15.2910545,8.3735330,3.1864076,2.5143812,0.7816958,0.5271955
15.3410253,8.3290308,3.2091661,2.5284128,0.7764742,0.5297649
15.3909960,8.2842012,3.2313898,2.5418817,0.7712526,0.5323344
15.4409668,8.2390483,3.2530778,2.5548299,0.7660310,0.5349038
15.4909376,8.1935763,3.2742295,2.5672984,0.7608094,0.5374732
15.5409083,8.1479050,3.2947927,2.5793256,0.7555879,0.5400426
15.5908791,8.1023068,3.3146569,2.5909430,0.7503663,0.5426121
15.6408499,8.0564147,3.3339915,2.6021751,0.7451447,0.5451815
15.6908206,8.0102377,3.3527938,2.6130397,0.7399231,0.5477509
15.7407914,7.9637847,3.3710611,2.6235473,0.7347015,0.5503203
15.7907622,7.9170646,3.3887907,2.6337022,0.7294799,0.5528898
15.8407329,7.8700863,3.4059801,2.6435076,0.7169491,0.5597449
15.8907037,7.8228589,3.4226265,2.6529659,0.7037962,0.5669648
15.9406745,7.7753913,3.4387273,2.6620787,0.6906433,0.5741846
15.9906452,7.7276923,3.4542799,2.6708447,0.6774905,0.5814045
16.0406160,7.6799598,3.4692237,2.6792604,0.6643376,0.5886244
16.0905868,7.6322307,3.4835550,2.6873220,0.6511847,0.5958443
16.1405575,7.5842999,3.4973392,2.6950254,0.6380318,0.6030641
16.1905283,7.5361756,3.5105739,2.7023668,0.6248789,0.6102840
16.2404991,7.4878662,3.5232563,2.7093439,0.6117261,0.6175039
16.2904698,7.4393800,3.5353838,2.7159562,0.5985732,0.6247237
16.3404406,7.3907254,3.5469538,2.7222028,0.5819299,0.6333468
16.3904114,7.3419107,3.5579636,2.7280819,0.5639660,0.6425009
16.4403821,7.2929441,3.5684105,2.7335914,0.5460021,0.6516549
16.4903529,7.2438341,3.5782920,2.7387901,0.5280381,0.6608089
16.5403236,7.1947274,3.5875801,2.7437711,0.5100742,0.6699629
16.5902944,7.1455801,3.5962883,2.7486224,0.4921103,0.6791170
16.6402652,7.0963161,3.6044340,2.7534273,0.4741463,0.6882710
16.6902359,7.0469442,3.6120182,2.7582648,0.4561824,0.6974250
16.7402067,6.9974730,3.6190418,2.7631487,0.4382185,0.7065791
16.7901775,6.9479113,3.6255056,2.7680544,0.4202545,0.7157331
16.8401482,6.8982678,3.6314107,2.7729592,0.4059959,0.7243689
16.8901190,6.8485512,3.6367580,2.7778417,0.3950308,0.7325439
16.9400898,6.7987703,3.6415483,2.7826816,0.3840657,0.7407190
16.9900605,6.7489337,3.6457827,2.7877720,0.3731006,0.7488941
17.0400313,6.6991020,3.6494595,2.7934700,0.3621355,0.7570692
17.0900021,6.6492493,3.6525945,2.8000869,0.3511704,0.7652442
17.1399728,6.5993614,3.6552069,2.8079016,0.3402053,0.7734193
17.1899436,6.5494437,3.6573143,2.8171680,0.3292402,0.7815944
17.2399144,6.4995016,3.6589344,2.8278085,0.3182751,0.7897695
17.2898851,6.4495404,3.6600850,2.8396664,0.3073101,0.7979445
17.3398559,6.3995655,3.6607837,2.8526183,0.3000000,0.8061637
17.3898267,6.3495822,3.6610482,2.8665632,0.3000000,0.8144710
17.4397974,6.2995958,3.6608963,2.8814160,0.3000000,0.8227784
17.4897682,6.2496118,3.6603456,2.8971779,0.3000000,0.8310857
17.5397390,6.1996705,3.6594152,2.9138682,0.3000000,0.8393930
17.5897097,6.1497447,3.6581273,2.9315062,0.3000000,0.8477004
17.6396805,6.0998254,3.6565057,2.9501102,0.3000000,0.8560077
17.6896513,6.0499114,3.6545745,2.9675396,0.3000000,0.8643151
17.7396220,6.0000014,3.6523574,2.9814504,0.3000000,0.8726224
17.7895928,5.9500944,3.6498786,2.9916272,0.3000000,0.8809297
17.8395636,5.9001892,3.6471619,2.9978716,0.3015337,0.8883266
17.8895343,5.8502844,3.6442312,3.0000000,0.3127079,0.8900006
17.9395051,5.8003790,3.6411105,3.0000000,0.3238822,0.8916747
17.9894759,5.7504718,3.6378239,3.0000000,0.3350564,0.8933487
18.0394466,5.7006796,3.6344034,3.0000000,0.3462306,0.8950227
18.0894174,5.6508945,3.6308670,3.0000000,0.3574049,0.8966967
18.1393882,5.6011013,3.6272383,3.0000000,0.3685791,0.8983707
18.1893589,5.5512973,3.6235417,3.0000000,0.3797533,0.9000448
18.2393297,5.5014799,3.6198020,3.0000000,0.3909275,0.9017188
18.2893005,5.4516465,3.6160436,3.0000000,0.4021018,0.9033928
18.3392712,5.4017943,3.6122911,3.0000000,0.4132760,0.9050668
18.3892420,5.3519208,3.6085690,3.0000000,0.4356784,0.8921101
18.4392128,5.3020234,3.6049018,3.0000000,0.4587825,0.8782389
18.4891835,5.2520993,3.6013143,3.0000000,0.4818867,0.8643677
18.5391543,5.2023546,3.5978451,3.0000000,0.5049908,0.8504966
18.5891251,5.1525874,3.5945041,3.0000000,0.5280949,0.8366254
18.6390958,5.1027875,3.5913151,3.0000000,0.5511991,0.8227542
18.6890666,5.0529528,3.5883027,2.9984245,0.5743032,0.8088831
18.7390374,5.0030817,3.5854911,2.9914113,0.5974074,0.7950119
18.7890081,4.9531722,3.5829049,2.9791062,0.6205115,0.7811407
18.8389789,4.9032225,3.5805685,2.9616620,0.6436157,0.7672696
18.8889497,4.8532306,3.5785063,2.9392387,0.6710884,0.7462986
