s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
18.7230627,2.2260510,2.4501904,2.5942433,0.2771265,0.7228735
18.8226534,2.3249187,2.4373030,2.5086810,0.2867769,0.7132231
18.9222442,2.4233125,2.4250701,2.4231978,0.2966573,0.7033427
19.0218349,2.5214458,2.4137835,2.3378123,0.3067791,0.6932209
19.1214257,2.6199203,2.4037115,2.2554344,0.3169009,0.6830991
19.2210164,2.7187142,2.3953323,2.1776618,0.3270227,0.6729773
19.3206072,2.8178658,2.3891879,2.1043169,0.3371445,0.6628555
19.4201980,2.9175755,2.3858036,2.0344672,0.3436207,0.6563793
19.5197887,3.0179067,2.3857022,1.9664245,0.3437777,0.6562223
19.6193795,3.1158750,2.3892496,1.9035752,0.3439348,0.6560652
19.7189702,3.2144280,2.3970014,1.8461261,0.3440918,0.6559082
19.8185610,3.3132736,2.4095932,1.7941519,0.3442489,0.6557511
19.9181518,3.4121200,2.4276604,1.7472193,0.3412540,0.6587460
20.0177425,3.5098027,2.4515954,1.7027842,0.3284883,0.6715117
20.1173333,3.6036274,2.4809928,1.6586384,0.3157225,0.6842775
20.2169240,3.6959929,2.5168952,1.6168093,0.3029568,0.6970432
20.3165148,3.7860928,2.5596524,1.5798664,0.2901911,0.7098089
20.4161056,3.8731208,2.6096139,1.5526849,0.2772944,0.7227056
20.5156963,3.9558114,2.6667803,1.5494467,0.2634556,0.7365444
20.6152871,4.0319903,2.7297969,1.5464965,0.2496167,0.7503833
20.7148778,4.1029840,2.7994726,1.5469050,0.2357779,0.7642221
20.8144686,4.1680155,2.8752081,1.5325677,0.2219390,0.7780610
20.9140593,4.2263077,2.9564046,1.5293683,0.2081002,0.7918998
